1, 1, 高尾 美奈, たかお みな, 高尾 美奈, N, 依存, 癒やし, 自, 防UP, 小, 肉便器予備軍穴ホール, 探索, 4, 最初から, 2014-11-05, 20-1
52, 205, 持田 睡蓮, もちだ すいれん, 持田 睡蓮, R, 執着, 腹黒, 全, 狡猾, 小, 計算高き癒やし系, イベント, 4, 香澄ちゃん怒りのワスレールライト, 2014-11-06, 20-52
53, 209, 【激怒】家鳴小鈴, げきど いえなり こすず, 家鳴 小鈴, HR, 依存, ぷんぷん, 敵, 攻DOWN, 大, 怒れる小動物, イベント, 4, 香澄ちゃん怒りのワスレールライト, 2014-11-06, 20-53
54, 213, 【激怒】仁科 香澄, げきど にしな かすみ, 仁科 香澄, HR, 狂気, ぷんぷん, 自, 狂乱, 大, 邪魔者は消えて♪, イベント, 4, 香澄ちゃん怒りのワスレールライト, 2014-11-06, 20-54
55, 217, 毘舎利 舞子, ひしゃり まいこ, 毘舎利 舞子, R, 依存, バカ, 自, 防UP, 中, かみしゃまへの奉納, イベント, 4, 縁日崩壊！破廉恥祭計画, 2014-11-19, 20-55
56, 221, 天道 安曇, てんどう あずみ, 天道 安曇, R, 執着, ツンデレ, , 束縛, , 夏夜の桃色儀式, イベント, 4, 縁日崩壊！破廉恥祭計画, 2014-11-19, 20-56
57, 225, 風祭 多笑, かざまつり たえ, 風祭 多笑, HR, 狂気, すきんしっぱー, 全, 攻UP, 中, お祭り騒ぎの大乱交, イベント, 4, 縁日崩壊！破廉恥祭計画, 2014-11-19, 20-57
58, 229, 【浴衣】柚子峰色羽, ゆかた ゆずみね いろは, 柚子峰 色羽, HR, 束縛, すきんしっぱー, 自, 防UP, 大, 独占浴衣ナイト, イベント, 4, 縁日崩壊！破廉恥祭計画, 2014-11-19, 20-58
59, 233, 楓 飛鳥, かえで あすか, 楓 飛鳥, R, 束縛, 怪奇, , 感染, , パパと一緒にジュン！, イベント, 4, 臨死体験！幽霊もヤンデレな件, 2014-12-01, 20-59
60, 237, 楓 穂香, かえで ほのか, 楓 穂香, R, 狂気, 怪奇, , 心中, , 成仏するまで私を愛して, イベント, 4, 臨死体験！幽霊もヤンデレな件, 2014-12-01, 20-60
61, 241, 【霊能】華野 朱香里, れいのう はなの あかり, 華野 朱香里, HR, 依存, 変態, 敵全, 防DOWN, 中, 触手自我ブレイク, イベント, 4, 臨死体験！幽霊もヤンデレな件, 2014-12-01, 20-61
62, 245, 【幽霊】黒井久留美, ゆうれい くろい くるみ, 黒井 久留美, HR, 執着, 怪奇, 全, 狡猾, 大, 病みつき呪いチンポ, イベント, 4, 臨死体験！幽霊もヤンデレな件, 2014-12-01, 20-62
63, 249, 水川 詩音, みずかわ しおん, 水川 詩音, R, 執着, 乱暴, 敵, 攻DOWN, 中, 私だけの踏み台, イベント, 4, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-12, 20-63
64, 253, 天野 りる, あまの りる, 天野 りる, R, 依存, 陰湿, 全, 防UP, 小, 監禁サマーライフ, イベント, 4, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-12, 20-64
65, 257, 【水着】柏木 縁, みずぎ かしわぎ ゆかり, 柏木 縁, HR, 狂気, 抑圧ちゃん, 敵全, 防DOWN, 中, 今日はプールでストレス解消, イベント, 4, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-12, 20-65
66, 261, 【水着】早川 光, みずぎ はやかわ ひかり, 早川 光, HR, 束縛, 抑圧ちゃん, 自, 攻UP, 大, スク水異性交遊, イベント, 4, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-12, 20-66
67, 265, 楽谷 音々, がくや ねね, 楽谷 音々, R, 依存, 変態, 全, 攻UP, 小, 昇天！着ぐるみ漬け, イベント, 4, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-09, 20-67
68, 269, 逆本 龍衣, さかもと るい, 逆本 龍衣, R, 狂気, 凶暴, 自, 攻UP, 中, 子宮口ハードパンチャー, イベント, 4, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-09, 20-68
69, 273, 【逆襲】政金 芙蓉, ぎゃくしゅう まさかね ふよう, 政金 芙蓉, HR, 束縛, 逆襲, 敵, 防DOWN, 大, ウチの細胞染みこませぇや！, イベント, 4, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-09, 20-69
70, 277, 【逆襲】双蓮ニーナ, ぎゃくしゅう そうれん にーな, 双蓮ニーナ, HR, 狂気, 逆襲, 敵, 防DOWN, 大, 銃社会の洗礼, イベント, 4, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-09, 20-70
71, 281, 陽那・睡蓮・香澄, ひな・すいれん・かすみ, N/A, HR, 執着, 元気, 全, 防UP, 小, それで、私たちの誰を選ぶの？, イベント報酬, 1, 香澄ちゃん怒りのワスレールライト, 2014-11-17, 20-71
72, 282, 【乱交】陽那/睡蓮/香澄, らんこう ひな・すいれん・かすみ, N/A, HR, 束縛, 淫乱, 全, 攻UP, 小, それで、私たちの誰を選ぶの？, イベント報酬, 1, 香澄ちゃん怒りのワスレールライト, 2014-11-17, 20-72
73, 283, 根腐 栞, ねぐされ しおり, 根腐 栞, HR, 執着, 腹黒, 自, 防UP, 大, 受胎せし悪魔セックス, ガチャ限定, 4, 2015年福袋ガチャ, 2015-01-01, 20-73
74, 287, 灰汁締 舞李, あくじめ まいり, 灰汁締 舞李, HR, 依存, 陰湿, 自, 攻UP, 大, デーモンの囁き, ガチャ限定, 4, 2015年福袋ガチャ, 2015-01-01, 20-74
75, 291, 忘喰アキ, ぼくら あき, 忘喰アキ, R, 依存, 元気, 自, 狂乱, 小, スクープ独占ガール, バトル報酬, 4, 2014年11月バトルコンプ, 2014-11-05, 20-75
76, 295, 舞子・安曇, まいこ・あずみ, N/A, HR, 執着, 活発, 敵全, 防DOWN, 中, 根神様の浄化待ち, イベント報酬, 1, 縁日崩壊！破廉恥祭計画, 2014-11-29, 20-76
77, 296, 【浄化待ち】舞子・安曇, じょうかまち まいこ・あずみ, N/A, HR, 依存, 活発, 敵全, 防DOWN, 中, 根神様の浄化待ち, イベント報酬, 1, 縁日崩壊！破廉恥祭計画, 2014-11-29, 20-77
78, 297, 【修験者】香月 満里奈, しゅげんしゃ こうづき まりな, 香月 満里奈, HR, 束縛, 淫乱, 全, 攻UP, 中, 修行ロケで気付いた本当の愛, イベント報酬, 1, 臨死体験！幽霊もヤンデレな件, 2014-12-12, 20-78
79, 298, 楓 飛鳥＆穂香, かえで あすか・ほのか, N/A, HR, 依存, 怪奇, 敵全, 防DOWN, 中, 恋獄より恨みを込めて, イベント報酬, 1, 臨死体験！幽霊もヤンデレな件, 2014-12-12, 20-79
80, 299, 【恋獄】楓 飛鳥＆穂香, れんごく かえで あすか・ほのか, N/A, HR, 狂気, 怪奇, 敵全, 防DOWN, 中, 恋獄より恨みを込めて, イベント報酬, 1, 臨死体験！幽霊もヤンデレな件, 2014-12-12, 20-80
81, 300, 新月夜 奏, しんげつや かなで, 新月夜 奏, R, 執着, 陰湿, 敵, 攻DOWN, 大, 毒舌クラリネット, バトル報酬, 4, 2014年12月バトルコンプ, 2014-12-01, 20-81
82, 304, 水着ハンター 香澄, みずぎはんたーかすみ, 仁科 香澄, HR, 狂気, 凶暴, 自, 狂乱, 大, 狩猟者の本能, イベント報酬, 1, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-21, 20-82
83, 305, 詩音・りる, しおん・りる, N/A, HR, 依存, 乱暴, 全, 攻UP, 中, 支配欲を満たす心の棲家, イベント報酬, 1, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-21, 20-83
84, 306, 【支配者】詩音・りる, しはいしゃ しおん・りる, N/A, HR, 依存, 乱暴, 全, 攻UP, 中, 支配欲を満たす心の棲家, イベント報酬, 1, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-21, 20-84
85, 307, 癒やしの水着女子, いやしのみずぎじょし, N/A, HR, 執着, 癒やし, 全, 防UP, 中, フィール水着グッド, イベント報酬, 1, エロやんの祖父を救え!!『水着で架ける約束の虹』, 2014-12-21, 20-85
86, 308, 【サンタ】仁科 香澄, さんた にしな かすみ, 仁科 香澄, HR, 狂気, 凶暴, 全, 攻UP, 中, わたしこそがプレゼント, イベント, 4, ジェットクリスマス～悲しみを背負って～, 2014-12-21, 20-86
87, 312, 【ﾄﾅｶｲ】伏田 乃々華, となかい ふしだ ののか, 伏田 乃々華, R, 束縛, 腹黒, 敵, 攻DOWN, 中, 助けて！スーパー乃々ちー！, イベント, 4, ジェットクリスマス～悲しみを背負って～, 2014-12-21, 20-87
88, 316, 【サンタ】龍浪 杏子, さんた たつなみ あんず, 龍浪 杏子, HR, 束縛, 乱暴, 自, 狂乱, 大, 全員まとめてボッコボコ, イベント, 4, ジェットクリスマス～悲しみを背負って～, 2014-12-21, 20-88
89, 320, 【サンタ】桐皇 亞沙樹, さんた とうおう あさき, 桐皇 亞沙樹, HR, 狂気, 狡猾, 全, 狡猾, 大, 桐皇亞沙樹に敵うと思って？, イベント, 4, ジェットクリスマス～悲しみを背負って～, 2014-12-21, 20-89
90, 324, 【闘サンタ】香澄＆杏子, とうさんた かすみ・あんず, N/A, HR, 狂気, ぷんぷん, 自, 攻UP, 大, フィスト&ピコハンマー, イベント報酬, 1, ジェットクリスマス～悲しみを背負って～, 2014-12-29, 20-90
91, 325, 【隷サンタ】乃々華＆亞沙樹, れいさんた ののか・あさき, N/A, HR, 依存, 陰湿, 自, 防UP, 大, アイドル如きスリーピン, イベント報酬, 1, ジェットクリスマス～悲しみを背負って～, 2014-12-29, 20-91
92, 326, 聖なる夜の病みサンタ達, せいなるよるのやみさんたたち, N/A, HR, 執着, 変態, , 心中, , クリスマスバトルロワイヤル, イベント報酬, 1, ジェットクリスマス～悲しみを背負って～, 2014-12-29, 20-92
93, 327, 九十九 瞳, つくも ひとみ, 九十九 瞳, R, 依存, 癒やし, 自, 防UP, 中, 募金のお金でコンドーム, バトル報酬, 4, 2015年01月バトルコンプ, 2015-01-03, 20-93
94, 331, 【着物】綾乃＆巴, きもの あやの・ともえ, N/A, R, 執着, 変態, 自, 攻UP, 中, 超好きなアナタへの依存, イベント, 4, そいやっ！お正月だよピコハン祭り, 2014-12-29, 20-94
95, 335, 着物病み娘集合, きものやみむすめしゅうごう, N/A, R, 狂気, バカ, 全, 攻UP, 小, お正月だよ！私だけ集合, イベント報酬, 1, そいやっ！お正月だよピコハン祭り, 2015-01-09, 20-95
96, 336, 【着物】香澄＆小鈴, きもの かすみ・こすず, N/A, HR, 狂気, ぷんぷん, 全, 攻UP, 大, だるまさんが～…消えたっ！, イベント, 4, そいやっ！お正月だよピコハン祭り, 2014-12-29, 20-96
97, 340, 【着物】山岸＆宇野, きもの やまぎし・うの, N/A, HR, 執着, 甘えん坊, 全, 防UP, 大, 噛まれないように囲ってあげる, イベント, 4, そいやっ！お正月だよピコハン祭り, 2014-12-29, 20-97
98, 344, 古院 誠, こいん まこと, 古院 誠, HR, 狂気, 陰湿, 自, 狡猾, 中, 大好きにじよめちゃん, ログイン報酬, 2, にじよめコラボ企画, 2014-12-26, 20-98
99, 346, 木野彩実のおしっこおせち, きのあやみのおしっこおせち, 木野 彩実, HR, 束縛, 変態, 敵, 攻DOWN, 大, 正月早々、おしっこおせち, イベント報酬, 1, そいやっ！お正月だよピコハン祭り, 2015-01-09, 20-99
100, 347, 【重度】着物病み娘集合, じゅうど きものやみむすめしゅうごう, N/A, HR, 依存, バカ, 敵全, 防DOWN, 中, 要らない女をお焚き上げ！, イベント報酬, 1, そいやっ！お正月だよピコハン祭り, 2015-01-09, 20-100
101, 348, 【逆襲】龍衣＆音々, ぎゃくしゅう るい・ねね, N/A, R, 束縛, ぷんぷん, 自, 攻UP, 中, 掻き立てるバイオレンスラブ, イベント報酬, 1, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-19, 20-101
102, 349, 寂しん坊将軍、柚子峰色羽, さびしんぼうしょうぐん ゆずみねいろは, 柚子峰 色羽, HR, 束縛, 甘えん坊, 自, 防UP, 大, 寂しん坊将軍の追跡術, イベント報酬, 1, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-19, 20-102
103, 350, 【逆襲】芙蓉・ニーナ, ぎゃくしゅう ふよう・にーな, N/A, HR, 執着, ぷんぷん, 敵全, 防DOWN, 中, おまえらまとめてパーン, イベント報酬, 1, YANDERE GIRLS STRIKE BACK!!!!, 2015-01-19, 20-103
104, 351, 深策 計, ふかさく けい, 深策 計, HR, 執着, 献身, 全, 攻UP, 中, 成功率100％性政略, イベント, 4, 風雲！部活動リーグ～第１部～, 2015-01-28, 20-104
105, 355, 布巻 帆釣, ぬのまき ほつれ, 布巻 帆釣, HR, 狂気, 狡猾, 敵全, 攻DOWN, 中, ドーピング着ぐるみ漬け, イベント, 4, 風雲！部活動リーグ～第１部～, 2015-01-28, 20-105
106, 359, 菱魅 尚花, ひしみ なおか, 菱魅 尚花, R, 束縛, バカ, 自, 攻UP, 中, チェスト・ザ・おちんぽブレード, イベント, 4, 風雲！部活動リーグ～第１部～, 2015-01-21, 20-106
107, 363, 稀空 夏帆, まれそら かほ, 稀空 夏帆, R, 狂気, ドジ, 自, 防UP, 中, 未確認肉棒発見！, イベント, 4, 風雲！部活動リーグ～第１部～, 2015-01-21, 20-107
108, 367, 【犬】暁 春菜, いぬ あかつき はるな, 暁 春菜, R, 束縛, 元気, 敵, 防DOWN, 中, ここ(だけ)掘れワンワン♪, イベント報酬, 4, 風雲！部活動リーグ～第１部～, 2015-01-27, 20-108
109, 371, 【孔明】天野 息吹, こうめい あまの いぶき, 天野 息吹, R, 依存, 癒やし, 敵全, 防DOWN, 中, 軍師！罠にハマる, イベント報酬, 4, 風雲！部活動リーグ～第１部～, 2015-01-27, 20-109
110, 375, 【制服】小坂 千代, せいふく こさか ちよ, 小坂 千代, HR, 執着, 清楚, 自, 防UP, 大, 迎撃態勢万全, イベント報酬, 4, 風雲！部活動リーグ～第１部～, 2015-01-22, 20-110
111, 379, 【制服】姫路 時子, せいふく ひめじ ときこ, 姫路 時子, HR, 依存, 活発, 自, 攻UP, 大, 神速ド天然, イベント報酬, 4, 風雲！部活動リーグ～第１部～, 2015-01-22, 20-111
112, 383, 【暗部】栞＆帆釣, あんぶ しおり・ほつれ, N/A, HR, 依存, 陰湿, 敵全, 防DOWN, 中, 学園の裏側へようこそ, イベント報酬, 1, 風雲！部活動リーグ～第１部～, 2015-02-02, 20-112
113, 384, 【執行者】計＆舞李, しっこうしゃ けい・まいり, N/A, HR, 狂気, 腹黒, 全, 攻UP, 中, 追い詰める権力, イベント報酬, 1, 風雲！部活動リーグ～第１部～, 2015-02-02, 20-113
114, 385, 熱血指導員、風間先生, ねっけつしどういん かざませんせい, 風間 弥生, HR, 狂気, 凶暴, 自, 狂乱, 大, 情熱のスパルタ指導, イベント報酬, 1, 風雲！部活動リーグ～第１部～, 2015-02-01, 20-114
115, 386, 眼目 由零, さっか ゆれ, 眼目 由零, R, 束縛, 腹黒, 敵, 防DOWN, 中, ゲーム攻略と一緒, バトル報酬, 4, 2015年02月バトルコンプ, 2015-02-02, 20-115
116, 390, 【痴女】結城 愛萌理, ちじょ ゆうき あめり, 結城 愛萌理, R, 狂気, 変態, 自, 狂乱, 中, その厭らしい手つき, イベント, 4, 痴漢冤罪～お尻に添える手が幸せ～, 2015-02-04, 20-116
117, 394, 【痴漢】雨井 里奈, ちかん あまい りな, 雨井 里奈, R, 依存, 淫乱, 自, 防UP, 中, 里奈は王子様専用なの, イベント, 4, 痴漢冤罪～お尻に添える手が幸せ～, 2015-02-04, 20-117
118, 398, 一色 久遠, ひとしき くおん, 一色 久遠, HR, 執着, 元気, 自, 攻UP, 大, 一人残さずジャッジメント, イベント, 4, 痴漢冤罪～お尻に添える手が幸せ～, 2015-02-04, 20-118
119, 402, 六角 菫, ろっかく すみれ, 六角 菫, HR, 執着, 狡猾, 全, 狡猾, 大, 示談金いくら払える？, イベント, 4, 痴漢冤罪～お尻に添える手が幸せ～, 2015-02-04, 20-119
120, 406, 久遠＆菫, くおん・すみれ, N/A, HR, 束縛, 甘えん坊, 敵全, 防DOWN, 中, 日本の現状, イベント報酬, 1, 痴漢冤罪～お尻に添える手が幸せ～, 2015-02-15, 20-120
121, 407, 囚人、夕成 小夜, しゅうじん ゆうなり さよ, 夕成 小夜, HR, 狂気, 変態, 自, 防UP, 中, 好きです拘束プレイ, イベント報酬, 1, 痴漢冤罪～お尻に添える手が幸せ～, 2015-02-15, 20-121
122, 408, 【お汁デコ】香澄ちゃん, おつゆでこ・かすみちゃん, 仁科 香澄, HR, 狂気, 陰湿, 自, 攻UP, 中, デコレーション香澄汁, ログイン報酬, 2, アンケート報酬, 2015-02-14, 20-122
123, 410, 【レズ】山中 沙織, れず やまなか さおり, 山中 沙織, R, 狂気, 変態, 自, 防UP, 中, 先生ダメ！私、壊れちゃう！, イベント, 4, 大好き。香澄お姉さま～女同士のイケナイ行為～, 2015-02-17, 20-123
124, 414, 【レズ】泡波 水緒, れず あわなみ みお, 泡波 水緒, R, 執着, 怪奇, 自, 攻UP, 中, 実験：レズビアン, イベント, 4, 大好き。香澄お姉さま～女同士のイケナイ行為～, 2015-02-17, 20-124
125, 418, 双生 好魅, ふたみ よしみ, 双生 好魅, HR, 束縛, すきんしっぱー, 自, 狂乱, 大, 好魅のお姉さま強襲, イベント, 4, 大好き。香澄お姉さま～女同士のイケナイ行為～, 2015-02-17, 20-125
126, 422, 双生 好愛, ふたみ よしめ, 双生 好愛, HR, 依存, 癒やし, 全, 狡猾, 大, 好愛も一緒に愛して？, イベント, 4, 大好き。香澄お姉さま～女同士のイケナイ行為～, 2015-02-17, 20-126
127, 426, 【レズ姉妹】好魅&好愛, れずしまい よしみ・よしめ, N/A, SR, 依存, 献身, 全, 攻UP, 中, 百合姉妹の境地, イベント報酬, 1, 大好き。香澄お姉さま～女同士のイケナイ行為～, 2015-02-26, 20-127
